,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemperature,WindSpeed
1,jamestown,1.0,AU,2019-07-02 23:14:28,85.0,-33.21,138.6,10.99,5.15
2,sao filipe,97.0,CV,2019-07-02 23:14:28,81.0,14.9,-24.5,23.19,7.94
3,geraldton,75.0,CA,2019-07-02 23:14:15,32.0,49.72,-86.95,28.0,3.1
4,east london,46.0,ZA,2019-07-02 23:14:29,33.0,-33.02,27.91,15.29,4.3
5,atuona,5.0,PF,2019-07-02 23:14:29,78.0,-9.8,-139.03,26.79,5.85
6,airai,80.0,TL,2019-07-02 23:14:29,60.0,-8.93,125.41,25.29,1.17
8,punta arenas,90.0,CL,2019-07-02 23:14:29,92.0,-53.16,-70.91,1.0,5.1
9,kruisfontein,54.0,ZA,2019-07-02 23:12:33,56.0,-34.0,24.73,14.49,3.57
11,svetlogorsk,90.0,RU,2019-07-02 23:14:30,100.0,53.14,59.15,14.0,1.37
12,darnah,0.0,LY,2019-07-02 23:14:30,77.0,32.77,22.64,24.59,3.17
13,torbay,90.0,CA,2019-07-02 23:14:30,93.0,47.66,-52.73,15.0,5.7
14,busselton,5.0,AU,2019-07-02 23:14:30,78.0,-33.64,115.35,6.11,8.36
15,touros,42.0,BR,2019-07-02 23:14:30,80.0,-5.2,-35.46,26.59,5.95
16,zhicheng,41.0,CN,2019-07-02 23:14:31,42.0,35.04,112.59,27.59,3.01
17,rikitea,100.0,PF,2019-07-02 23:06:25,87.0,-23.12,-134.97,19.29,10.86
18,awbari,0.0,LY,2019-07-02 23:14:31,20.0,26.59,12.77,28.79,3.59
19,montepuez,2.0,MZ,2019-07-02 23:14:31,90.0,-13.13,39.0,17.39,1.04
20,port alfred,61.0,ZA,2019-07-02 23:14:31,46.0,-33.59,26.89,20.0,1.79
21,ilulissat,75.0,GL,2019-07-02 23:14:31,35.0,69.22,-51.1,13.0,6.2
22,bredasdorp,67.0,ZA,2019-07-02 23:12:55,59.0,-34.53,20.04,17.78,6.7
23,iisalmi,90.0,FI,2019-07-02 23:14:32,81.0,63.56,27.19,12.0,6.2
24,kaitangata,67.0,NZ,2019-07-02 23:14:32,73.0,-46.28,169.85,12.78,1.79
25,ayorou,0.0,NE,2019-07-02 23:14:32,16.0,14.73,0.92,36.79,3.39
